session,video_frame_index,radar_frame_num,radar_x,radar_y,radar_z,camera_x,camera_y,camera_z,radar_snr,gate_distance_m,tag_decision_margin
session_2026-08-27_20-18-44,1,12,0.0,7.29255,-0.11025,0.19137957393805038,-0.492210481644512,7.515829124604491,33.884,0.5762687572717519,23.11306381225586
session_2026-08-27_20-18-44,2,13,0.0,7.29253,-0.11181,0.18148024200225285,-0.4772420910871106,7.575191420153631,33.824,0.6257528702643289,31.041454315185547
session_2026-08-27_20-18-44,3,14,0.0,7.29256,-0.10995,0.18096054792671631,-0.47660110643581455,7.562583081066959,33.821,0.6197303385486198,34.01048278808594
session_2026-08-27_20-18-44,5,15,0.0,7.29255,-0.11033,0.18065668892523476,-0.47558369680289797,7.548034776397842,33.852,0.6113130548597496,40.95892333984375
session_2026-08-27_20-18-44,8,16,0.0,7.29251,-0.11342,0.18041516415450948,-0.4760826371533837,7.530979339971749,33.893,0.5987124530799464,44.963890075683594
session_2026-08-27_20-18-44,11,17,0.0,7.29255,-0.11067,0.17900231023296143,-0.47554833447244643,7.532059647658005,33.842,0.6023006396293461,46.211483001708984
session_2026-08-27_20-18-44,13,18,0.0,7.29254,-0.11129,0.17914623278233416,-0.47544370519376733,7.529619820043896,33.82,0.6004288329181268,47.04531478881836
session_2026-08-27_20-18-44,16,19,0.0,7.29255,-0.11064,0.17927016702092066,-0.47701824714043206,7.531514145499827,33.867,0.6009094152230529,48.044307708740234
session_2026-08-27_20-18-44,19,20,0.0,7.29253,-0.11208,0.1786773530844443,-0.4773294300166681,7.531872133306525,33.827,0.600184264593738,47.96076202392578
session_2026-08-27_20-18-44,22,21,0.0,7.29258,-0.10841,0.18035861117046423,-0.47494152407801016,7.535892322962718,33.823,0.6059279091480121,47.25967788696289
session_2026-08-27_20-18-44,25,22,0.0,7.2926,-0.10747,0.17934162760716094,-0.47544194128176887,7.52698094872906,33.834,0.6014949465105228,47.23115539550781
session_2026-08-27_20-18-44,28,23,0.0,7.29257,-0.10951,0.17916342879191685,-0.47667745026029923,7.53410204849102,33.812,0.6035067041874338,48.1260871887207
session_2026-08-27_20-18-44,31,24,0.0,7.29255,-0.11047,0.1795961168230576,-0.4785468570984743,7.52348987652297,33.834,0.5951648268960752,48.164432525634766
