session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-06-15_17-32-58,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-32-58/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-48-28,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-48-28/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-48-45,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-48-45/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-49-09,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-49-09/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-49-35,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-49-35/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-49-58,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-49-58/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-50-25,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-50-25/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-50-51,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-50-51/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-51-18,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-51-18/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-52-00,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-52-00/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-52-26,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-52-26/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-52-53,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-52-53/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-53-20,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-53-20/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-53-47,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-53-47/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-54-18,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-54-18/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-54-52,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-54-52/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-55-19,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-55-19/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-56-47,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-56-47/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-57-18,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-57-18/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-57-42,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-57-42/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-58-33,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-58-33/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-58-58,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-58-58/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-59-28,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-59-28/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-00-00,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-00-00/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-00-48,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-00-48/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-01-39,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-01-39/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-02-21,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-02-21/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-02-53,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-02-53/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-03-22,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-03-22/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-03-57,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-03-57/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-04-24,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-04-24/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-04-58,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-04-58/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_18-05-31,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_18-05-31/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_16-34-35,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_16-34-35/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_16-34-51,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_16-34-51/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_16-35-08,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_16-35-08/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-00-59,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-00-59/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-01-18,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-01-18/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-01-33,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-01-33/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-01-48,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-01-48/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-02-04,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-02-04/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-02-19,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-02-19/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-02-35,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-02-35/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
