session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-04-28_17-23-46,ds_datatraining_2026-04-28,dataTraining,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-23-46/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataTraining\Processing on 2026-08-29.
session_2026-04-28_17-24-34,ds_datatraining_2026-04-28,dataTraining,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-24-34/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataTraining\Processing on 2026-08-29.
session_2026-04-28_17-25-19,ds_datatraining_2026-04-28,dataTraining,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-25-19/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataTraining\Processing on 2026-08-29.
