session_id,dataset_id,legacy_dataset_name,current_raw_path,target_raw_path,mapping_scope,migration_status,notes
session_2026-04-28_17-23-46,ds_datatraining_2026-04-28,dataTraining,/mnt/d/3branch/dataTraining/Processing/session_2026-04-28_17-23-46\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-23-46/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-24-34,ds_datatraining_2026-04-28,dataTraining,/mnt/d/3branch/dataTraining/Processing/session_2026-04-28_17-24-34\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-24-34/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-25-19,ds_datatraining_2026-04-28,dataTraining,/mnt/d/3branch/dataTraining/Processing/session_2026-04-28_17-25-19\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datatraining_2026-04-28/session_2026-04-28_17-25-19/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
