session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-04-28_18-25-58,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-25-58/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_18-27-05,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-27-05/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_18-28-45,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-28-45/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_18-32-20,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-32-20/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_18-34-54,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-34-54/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-16-05,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-16-05/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-17-47,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-17-47/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-19-07,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-19-07/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-21-22,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-21-22/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-23-01,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-23-01/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-28-29,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-28-29/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-29-44,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-29-44/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-31-41,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-31-41/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-33-34,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-33-34/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-36-19,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-36-19/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
